FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,VESSEL_COUNT,BOAT_DAYS,SOCKEYE_KEPT,SOCKEYE_RELD,COHO_KEPT,COHO_RELD,PINK_KEPT,PINK_RELD,CHUM_KEPT,CHUM_RELD,CHINOOK_KEPT,CHINOOK_RELD,STEELHEAD_KEPT,STEELHEAD_RELD,NOTES
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,13,58,457.00,0.00,142.00,0.00,663.00,1844.00,14.00,40011.00,228.00,0.00,269.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,14,4,4.00,0.00,0.00,0.00,0.00,0.00,0.00,268.00,0.00,0.00,7.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,16,2,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,23,24,248.00,0.00,6.00,0.00,26.00,0.00,0.00,2.00,0.00,2787.00,715.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,24,6,18.00,0.00,0.00,0.00,20.00,0.00,0.00,3.00,0.00,234.00,6.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,25,3,5.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,41.00,13.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,26,3,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,11.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,27,4,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,84.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2007,29,2,5.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,101,143,2772.00,2675.00,765.00,95527.00,11448.00,63973.00,19010.00,668.00,465.00,59218.00,6897.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,102,12,54.00,0.00,0.00,5930.00,0.00,4.00,0.00,1.00,2.00,0.00,279.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,104,40,311.00,280.00,4.00,36586.00,6.00,6094.00,1264.00,21.00,19.00,130.00,2073.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,105,4,10.00,0.00,0.00,510.00,0.00,18.00,0.00,0.00,0.00,0.00,126.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,106,2,0.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,107,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,108,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,109,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,110,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,123,82,1443.00,1.00,2.00,1354.00,5041.00,45.00,26.00,141.00,2.00,36643.00,5318.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,124,36,259.00,0.00,2.00,13.00,639.00,1.00,0.00,58.00,0.00,5561.00,205.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,125,35,212.00,0.00,0.00,6.00,847.00,76.00,341.00,262.00,4.00,5967.00,401.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,126,58,854.00,45.00,1.00,43.00,1778.00,532.00,224.00,313.00,16.00,14495.00,1032.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2007,127,29,557.00,0.00,4.00,10.00,2601.00,81.00,121.00,92.00,16.00,8600.00,383.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2007,142,35,246.00,9.00,122.00,2088.00,761.00,1309.00,1301.00,12.00,17.00,6069.00,265.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,1,76,809.00,150.00,42.00,19127.00,2207.00,9449.00,1149.00,0.00,82.00,4618.00,1118.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,2,12,21.00,0.00,0.00,98.00,0.00,0.00,1.00,0.00,0.00,87.00,1.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,6,33,245.00,0.00,6.00,12638.00,1.00,683.00,44.00,0.00,11.00,9.00,690.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,7,4,26.00,0.00,0.00,1087.00,16.00,9.00,11.00,0.00,12.00,0.00,48.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,12,2,3.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,13,44,345.00,160.00,3.00,5.00,121.00,261.00,76.00,21262.00,20.00,0.00,42.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,18,4,9.00,341.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,23,16,79.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,772.00,179.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,24,4,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,3.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,25,1,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,26,3,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,7.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,27,2,4.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2008,29,1,4.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,101,132,2897.00,303.00,147.00,39824.00,9037.00,21911.00,9466.00,54.00,316.00,38370.00,3213.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,102,10,42.00,0.00,0.00,1312.00,0.00,1.00,31.00,0.00,0.00,59.00,92.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,104,8,10.00,141.00,0.00,722.00,0.00,73.00,12.00,0.00,0.00,5.00,42.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,105,6,19.00,0.00,0.00,1277.00,0.00,11.00,15.00,0.00,0.00,1.00,151.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,106,1,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,107,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,108,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,109,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,110,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,123,94,1511.00,1.00,5.00,242.00,6735.00,5.00,37.00,77.00,13.00,69250.00,5554.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,124,39,306.00,0.00,0.00,35.00,305.00,0.00,0.00,14.00,0.00,4009.00,232.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,125,38,129.00,0.00,0.00,1.00,264.00,0.00,0.00,14.00,0.00,1348.00,124.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,126,43,749.00,0.00,4.00,24.00,857.00,5.00,7.00,80.00,2.00,10358.00,600.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2008,127,36,523.00,0.00,0.00,8.00,642.00,1.00,2.00,126.00,1.00,5301.00,177.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2008,142,24,226.00,0.00,3.00,449.00,305.00,186.00,47.00,0.00,10.00,2707.00,155.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2009,1,69,751.00,2.00,111.00,34447.00,4456.00,10302.00,8105.00,1.00,168.00,4904.00,1363.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2009,2,4,11.00,0.00,0.00,982.00,0.00,0.00,41.00,0.00,0.00,92.00,17.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2009,3,45,376.00,0.00,25.00,25903.00,20.00,458.00,447.00,0.00,78.00,4.00,2546.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2009,12,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2009,13,42,429.00,0.00,366.00,6.00,1030.00,16542.00,8.00,67939.00,841.00,0.00,129.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2009,14,1,1.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2009,18,2,3.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2009,23,16,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,778.00,122.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2009,24,2,2.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2009,25,7,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240.00,91.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2009,26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA G – SALMON TROLL,2009,27,6,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,8.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA H – SALMON TROLL,2009,29,2,3.00,,,,,,,,,,,,,Catch figures omitted due to privacy restrictions.
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2009,101,146,3465.00,685.00,542.00,101854.00,32970.00,51220.00,32296.00,79.00,1490.00,59419.00,5685.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2009,102,27,200.00,0.00,1.00,28920.00,27.00,79.00,250.00,0.00,5.00,0.00,607.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2009,104,21,106.00,0.00,3.00,12296.00,0.00,624.00,1073.00,0.00,21.00,21.00,748.00,0.00,0.00,
SALMON TROLL,IN-SEASON,AREA F – SALMON TROLL,2009,105,20,69.00,0.00,4.00,8074.00,0.00,736.00,121.00,0.00,3.00,0.00,402.00,0.00,0.00,
