year,harvest,fishery
1980,647929,Commercial
1981,467642,Commercial
1982,464954,Commercial
1983,919576,Commercial
1984,672252,Commercial
1985,581964,Commercial
1986,1293879,Commercial
1987,679955,Commercial
1988,391057,Commercial
1989,606800,Commercial
1990,1092004,Commercial
1991,1051732,Commercial
1992,596099,Commercial
1993,354140,Commercial
1994,766564,Commercial
1995,310202,Commercial
1996,434467.16,Commercial
1997,172433.92,Commercial
1998,0,Commercial
1999,0,Commercial
2000,8,Commercial
2001,11469.09,Commercial
2002,115489,Commercial
2003,203058.17,Commercial
2004,211301,Commercial
2005,314912,Commercial
2006,139760,Commercial
2007,180295,Commercial
2008,93335,Commercial
2009,214390,Commercial
2010,136745,Commercial
2011,296647,Commercial
2012,239781,Commercial
2013,399364,Commercial
2014,180313,Commercial
2015,255675,Commercial
2016,215066,Commercial
2017,339622,Commercial
2018,176547,Commercial
2019,177156,Commercial
2020,89381,Commercial
2021,67360,Commercial
2022,102908,Commercial
2023,117473,Commercial
2024,89956,Commercial
2025,52292,Commercial
2004,46739,Recreational (Areas 1-2)
2005,51500,Recreational (Areas 1-2)
2006,45600,Recreational (Areas 1-2)
2007,42152,Recreational (Areas 1-2)
2008,46500,Recreational (Areas 1-2)
2009,57000,Recreational (Areas 1-2)
2010,31300,Recreational (Areas 1-2)
2011,46500,Recreational (Areas 1-2)
2012,42720,Recreational (Areas 1-2)
2013,41100,Recreational (Areas 1-2)
2014,31235,Recreational (Areas 1-2)
2015,32700,Recreational (Areas 1-2)
2016,30840,Recreational (Areas 1-2)
2017,35100,Recreational (Areas 1-2)
2018,34200,Recreational (Areas 1-2)
2019,25895,Recreational (Areas 1-2)
2020,3198,Recreational (Areas 1-2)
2021,22407,Recreational (Areas 1-2)
2022,33074,Recreational (Areas 1-2)
2023,40767,Recreational (Areas 1-2)
2024,31449,Recreational (Areas 1-2)
2025,25265,Recreational (Areas 1-2)
2004,54942,Recreational (Areas 3-4)
2005,47393,Recreational (Areas 3-4)
2006,49785,Recreational (Areas 3-4)
2007,42958,Recreational (Areas 3-4)
2008,50383,Recreational (Areas 3-4)
2009,49885,Recreational (Areas 3-4)
2010,27722,Recreational (Areas 3-4)
2011,32046,Recreational (Areas 3-4)
2012,23581,Recreational (Areas 3-4)
2013,41165,Recreational (Areas 3-4)
2014,32563,Recreational (Areas 3-4)
2015,32151,Recreational (Areas 3-4)
2016,37350,Recreational (Areas 3-4)
2017,38713,Recreational (Areas 3-4)
2018,15000,Recreational (Areas 3-4)
2019,23820,Recreational (Areas 3-4)
2020,25599,Recreational (Areas 3-4)
2021,38126,Recreational (Areas 3-4)
2022,31620,Recreational (Areas 3-4)
2023,42525,Recreational (Areas 3-4)
2024,29256,Recreational (Areas 3-4)
2025,36358,Recreational (Areas 3-4)
