population	pop_no	stat_area	group
belowe_ck	1	5	4
sylvia_ck	2	5	4
tsimtack_lk	3	5	4
brim	4	6	5
kemano	5	6	5
kiltush	6	6	5
paril	7	6	5
wahoo	8	6	5
dala	9	6	5
kildala	10	6	5
evelyn_ck	11	6	5
foch_ck	12	6	5
hartleybay_ck	13	6	4
hugh_ck	14	6	5
kiskosh_ck	15	6	5
quaal	16	6	4
riordan	17	6	5
aaltanhash	18	6	5
green	19	6	5
east_arm	20	6	4
west_arm	21	6	4
arnoup	22	6	4
nias	23	6	4
tyler_ck	24	6	4
roscoe	25	7	6
quartcha	26	7	6
martin	27	8	6
elcho	28	8	6
cascade	29	8	6
necleetsconnay	30	8	6
chuckwalla	31	9	7
docee	32	10	7
kasiks	33	4	3
ecstall	34	4	3
exchamsiks	35	4	3
exstew	36	4	3
kadeen	37	4	3
zymagotitz	38	4	3
babine_fence	39	4	3
nangeese_kspx	40	4	3
kitwanga	41	4	3
damshilgwit	42	4	3
bear	43	4	3
zolzap	44	3	2
meziadin	45	3	2
diskangieg	46	3	2
lachmach	47	3	2
tlell	48	2	1
deena	49	2	1
pallant_ck	50	2	1
salloomt	51	2	6
fish_creek	52	8	6
habensborg_slough	53	8	6
molly_walker	54	8	6
noohalk_ck	55	8	6
nookliklonnik_ck	56	8	6
snootli_ck	57	8	6
thorsen_ck	58	8	6
