pop_no,population,stat_area,CU,year,escapement,esc_2,er_E,er_2,er_3,er_4,total_runE,total_run2,total_run3,total_run4,total_run5,age_3,age_4,rec_E,rec_2,rec_3,rec_4,rec_5,RS_E,RS_2,RS_3,RS_4,RS_5
1,belowe_ck,5,hecate_strait_mainland,1980,500,NA,0.406675221,0.416333333,0.461333333,0.416,842.7087786,856.6533409,928.2178218,856.1643836,NA,0.854411765,0.149911765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1981,300,NA,0.368205943,0.392333333,0.433833333,0.392,474.8382748,493.691717,529.8793053,493.4210526,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1982,NA,NA,0.318745443,0.365,0.4,0.365,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1983,NA,NA,0.445144498,0.449666667,0.498666667,0.45,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1984,100,NA,0.395683999,0.411333333,0.455333333,0.411,165.4763398,169.8754247,183.5985312,169.7792869,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1985,NA,NA,0.412170832,0.422666667,0.468666667,0.423,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1986,340,NA,0.456135721,0.449666667,0.500666667,0.45,625.155968,617.8073895,680.9078772,618.1818182,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1987,NA,NA,0.35171911,0.377666667,0.416666667,0.378,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1988,NA,NA,0.346223499,0.371333333,0.409833333,0.298,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1989,NA,NA,0.3379193,0.367666667,0.405666667,0.367,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1990,NA,NA,0.3832653,0.416333333,0.458833333,0.414,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1991,NA,NA,0.324956429,0.35,0.3935,0.344,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1992,NA,NA,0.327128935,0.354,0.4025,0.355,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1993,NA,NA,0.29235067,0.316,0.3555,0.216,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1994,NA,NA,0.330473681,0.372333333,0.420833333,0.367,NA,NA,NA,NA,NA,0.854411765,0.145588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1995,NA,NA,0.197903485,0.241,0.2695,0.231,NA,NA,NA,NA,NA,0.854411765,0.145588235,261.6969616,249.2431917,259.7502897,248.9225272,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1996,NA,NA,0.403039507,0.416,0.461,0.385,NA,NA,NA,NA,NA,0.854411765,0.145588235,423.833075,411.1552657,425.37045,407.0112894,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1997,NA,NA,0.375,0.296333333,0.347833333,0.267,NA,NA,NA,NA,NA,0.854411765,0.145588235,234.8715182,244.0625204,252.1340137,224.6142631,NA,NA,NA,NA,NA,NA
1,belowe_ck,5,hecate_strait_mainland,1998,200,NA,0.125,0.077666667,0.117166667,0.077,228.5714286,216.8413444,226.5433264,216.6847237,NA,0.854411765,0.145588235,301.7470333,300.9815838,308.5389653,287.3949189,NA,1.508735167,1.504907919,1.542694826,1.436974595,NA
1,belowe_ck,5,hecate_strait_mainland,1999,400,NA,0.123,0.089666667,0.120166667,0.087,456.1003421,439.3994874,454.631559,438.1161008,NA,0.854411765,0.145588235,633.1664652,633.9706973,644.2332676,605.8184657,NA,1.582916163,1.584926743,1.610583169,1.514546164,NA
1,belowe_ck,5,hecate_strait_mainland,2000,200,NA,0.147,0.185,0.2115,0.109,234.4665885,245.398773,253.6461636,224.4668911,NA,0.854411765,0.145588235,346.7808268,358.8097103,368.4265746,344.1865197,NA,1.733904134,1.794048551,1.842132873,1.720932599,NA
1,belowe_ck,5,hecate_strait_mainland,2001,200,NA,0.157,0.153333333,0.177833333,0.113,237.2479241,236.2204724,243.2596797,225.4791432,NA,0.854411765,0.145588235,303.0727514,378.7638537,406.62669,370.4660582,NA,1.515363757,1.893819269,2.03313345,1.852330291,NA
1,belowe_ck,5,hecate_strait_mainland,2002,600,NA,0.118,0.119,0.1325,0.078,680.2721088,681.0442679,691.6426513,650.7592191,NA,0.854411765,0.145588235,354.5588676,414.9818675,492.4315007,410.2236915,NA,0.590931446,0.691636446,0.820719168,0.683706152,NA
1,belowe_ck,5,hecate_strait_mainland,2003,300,NA,0.159,0.161333333,0.180333333,0.123,356.7181926,357.7106518,366.00244,342.0752566,NA,0.854411765,0.145588235,141.8953304,150.6742313,158.1222819,153.1179322,NA,0.472984435,0.502247438,0.527074273,0.510393107,NA
1,belowe_ck,5,hecate_strait_mainland,2004,225,NA,0.22,0.384,0.412,0.369,288.4615385,365.2597403,382.6530612,356.5768621,NA,0.854411765,0.145588235,90.43166836,98.38858708,104.4542803,99.17035131,NA,0.401918526,0.437282609,0.464241246,0.440757117,NA
1,belowe_ck,5,hecate_strait_mainland,2005,320,NA,0.177,0.301333333,0.415333333,0.292,388.8213852,458.0152672,547.3204105,451.9774011,NA,0.854411765,0.145588235,198.2763396,207.5518915,220.232531,208.9565822,NA,0.619613561,0.648599661,0.688226659,0.652989319,NA
