Year,CUs,AK_ER_E,Can_ER_E,Can_ER_Avg,Tot_ER.E,Tot_ER.CCFN
1980,Nass,0.408,0.270,NA,0.678,0.678
1981,Nass,0.370,0.244,NA,0.614,0.614
1982,Nass,0.320,0.211,NA,0.531,0.531
1983,Nass,0.447,0.295,NA,0.742,0.742
1984,Nass,0.397,0.262,NA,0.659,0.659
1985,Nass,0.414,0.273,NA,0.687,0.687
1986,Nass,0.458,0.302,NA,0.760,0.760
1987,Nass,0.353,0.233,NA,0.586,0.586
1988,Nass,0.348,0.230,NA,0.578,0.578
1989,Nass,0.339,0.224,NA,0.563,0.563
1990,Nass,0.385,0.254,NA,0.639,0.639
1991,Nass,0.470,0.183,NA,0.653,0.653
1992,Nass,0.475,0.167,NA,0.642,0.642
1993,Nass,0.506,0.131,NA,0.637,0.637
1994,Nass,0.561,0.185,NA,0.746,0.746
1995,Nass,0.578,0.130,NA,0.709,0.709
1996,Nass,0.492,0.189,NA,0.680,0.680
1997,Nass,0.487,0.053,NA,0.540,0.540
1998,Nass,0.474,0.000,NA,0.474,0.474
1999,Nass,0.494,0.003,NA,0.497,0.497
2000,Nass,0.476,0.000,NA,0.476,0.476
2001,Nass,0.464,0.031,NA,0.496,0.496
2002,Nass,0.172,0.029,NA,0.202,0.202
2003,Nass,0.359,0.045,NA,0.404,0.404
2004,Nass,0.401,0.086,NA,0.486,0.486
2005,Nass,0.437,0.136,NA,0.573,0.573
2006,Nass,0.354,0.121,NA,0.475,0.475
2007,Nass,0.379,0.117,NA,0.496,0.496
2008,Nass,0.317,0.086,NA,0.403,0.403
2009,Nass,0.260,0.088,NA,0.348,0.348
2010,Nass,0.350,0.113,NA,0.463,0.463
2011,Nass,0.466,0.067,NA,0.533,0.533
2012,Nass,0.410,0.140,NA,0.549,0.549
2013,Nass,0.519,0.119,NA,0.638,0.638
2014,Nass,0.344,0.055,NA,0.399,0.399
2015,Nass,0.581,0.288,NA,0.869,0.869
2016,Nass,0.553,0.129,NA,0.682,0.682
2017,Nass,0.370,0.184,NA,0.554,0.554
2018,Nass,0.389,0.087,NA,0.476,0.476
2019,Nass,0.319,0.167,NA,0.486,0.486
2020,Nass,0.464,0.079,NA,0.543,0.543
2021,Nass,0.520,0.117,NA,0.637,0.637
2022,Nass,0.419,0.118,NA,0.537,0.537
2023,Nass,0.360,0.074,NA,0.435,0.435
2024,Nass,0.258,0.136,NA,0.394,0.394
1980,Mid_Skeena,0.257,0.400,NA,0.657,0.657
1981,Mid_Skeena,0.233,0.410,NA,0.643,0.643
1982,Mid_Skeena,0.201,0.430,NA,0.631,0.631
1983,Mid_Skeena,0.281,0.420,NA,0.701,0.701
1984,Mid_Skeena,0.250,0.410,NA,0.660,0.660
1985,Mid_Skeena,0.260,0.410,NA,0.670,0.670
1986,Mid_Skeena,0.288,0.400,NA,0.688,0.688
1987,Mid_Skeena,0.222,0.400,NA,0.622,0.622
1988,Mid_Skeena,0.090,0.170,NA,0.260,0.260
1989,Mid_Skeena,0.223,0.397,NA,0.620,0.620
1990,Mid_Skeena,0.252,0.442,NA,0.694,0.694
1991,Mid_Skeena,0.309,0.313,NA,0.622,0.622
1992,Mid_Skeena,0.361,0.293,NA,0.654,0.654
1993,Mid_Skeena,0.286,0.020,NA,0.306,0.306
1994,Mid_Skeena,0.353,0.308,NA,0.661,0.661
1995,Mid_Skeena,0.192,0.199,NA,0.391,0.391
1996,Mid_Skeena,0.308,0.405,NA,0.713,0.713
1997,Mid_Skeena,0.374,0.133,NA,0.506,0.506
1998,Mid_Skeena,0.179,0.014,NA,0.193,0.193
1999,Mid_Skeena,0.199,0.017,NA,0.216,0.216
2000,Mid_Skeena,0.281,0.003,NA,0.284,0.284
2001,Mid_Skeena,0.240,0.022,NA,0.262,0.262
2002,Mid_Skeena,0.116,0.045,NA,0.161,0.161
2003,Mid_Skeena,0.196,0.051,NA,0.246,0.246
2004,Mid_Skeena,0.214,0.212,NA,0.426,0.426
2005,Mid_Skeena,0.229,0.032,NA,0.261,0.261
